combination,host,time,N,OD600,sd,se,ci
Cocktail,APO57,0.237777777777778,12,0.10891666666666666,0.052893474994272195,0.015269031013158896,0.03360691066894173
Cocktail,APO57,0.487777777777778,12,0.10916666666666666,0.053714452657012385,0.015506026850449755,0.03412853498982241
Cocktail,APO57,0.737777777777778,12,0.10966666666666666,0.05484578931933248,0.015832615613717058,0.03484735201122642
Cocktail,APO57,0.987777777777778,12,0.11083333333333333,0.055876216006020975,0.016130074176186945,0.03550205389296483
Cocktail,APO57,1.23777777777778,12,0.09775,0.015451537140362447,0.004460474563690879,0.009817438321649854
Cocktail,APO57,1.48777777777778,12,0.09866666666666667,0.017337994711213313,0.005005047956863657,0.011016036278603886
Cocktail,APO57,1.73777777777778,12,0.09908333333333333,0.018272972258270282,0.005274952726103456,0.011610092670338643
Cocktail,APO57,1.98777777777778,12,0.09941666666666667,0.019061900760576334,0.00550269676769234,0.012111353926175067
Cocktail,APO57,2.23777777777778,12,0.09999999999999999,0.02040944522875265,0.005891699348415633,0.012967542833584388
Cocktail,APO57,2.48777777777778,12,0.10041666666666667,0.02161421389790159,0.006239486106137817,0.0137330163262073
Cocktail,APO57,2.73777777777778,12,0.10091666666666667,0.022777414384881484,0.00657527316327749,0.014472078655922562
Cocktail,APO57,2.98777777777778,12,0.10175,0.024264171117101857,0.00700446286306095,0.015416718816010144
Cocktail,APO57,3.23777777777778,12,0.10291666666666667,0.02679368423997557,0.007734670404265865,0.017023894777989164
Cocktail,APO57,3.48777777777778,12,0.10441666666666666,0.03032088489154069,0.008752885527099338,0.019264971153126524
Cocktail,APO57,3.73777777777778,12,0.10608333333333334,0.0341958485873075,0.009871491193524836,0.021727005624923464
Cocktail,APO57,3.98777777777778,12,0.10841666666666666,0.04001013129271892,0.011549930036081771,0.025421224609512665
Cocktail,APO57,4.23777777777778,12,0.11125,0.0465229659806462,0.013430023466212944,0.029559282348817162
Cocktail,APO57,4.48777777777778,12,0.11375,0.05160536441459974,0.014897185518198948,0.032788484252687954
Cocktail,APO57,4.73777777777778,12,0.11558333333333333,0.05586096105239302,0.016125670450395157,0.035492361357847994
Cocktail,APO57,4.98777777777778,12,0.11624999999999999,0.0578463874883691,0.01669881369402865,0.0367538411316921
Cocktail,APO57,5.23777777777778,12,0.11608333333333333,0.05745901042297786,0.01658698756753789,0.0365077134867754
Cocktail,APO57,5.48777777777778,12,0.11533333333333333,0.05527013550542353,0.015955113806101685,0.035116968714803035
Cocktail,APO57,5.73777777777778,12,0.11383333333333333,0.05109497988743092,0.014749850196123378,0.0324642013952423
Cocktail,APO57,5.98777777777778,12,0.11166666666666666,0.046071749050866966,0.013299768358277465,0.02927259278922504
Cocktail,APO57,6.23777777777778,12,0.10966666666666666,0.04136386946321267,0.011940720584655187,0.026281348807626823
Cocktail,APO57,6.48777777777778,12,0.10825,0.03849232509097224,0.011111777126503705,0.024456856557680366
Cocktail,APO57,6.73777777777778,12,0.10766666666666666,0.037119789706823336,0.010715560289748377,0.023584789179803438
Cocktail,APO57,6.98777777777778,12,0.10758333333333334,0.0364503606001201,0.010522312752269135,0.023159454217587375
Cocktail,APO57,7.23777777777778,12,0.10758333333333334,0.0364503606001201,0.010522312752269135,0.023159454217587375
Cocktail,APO57,7.48777777777778,12,0.10766666666666666,0.036881464507831356,0.010646761730852031,0.02343336457263689
Cocktail,APO57,7.73777777777778,12,0.10783333333333334,0.037270103381404865,0.010758952109989641,0.023680293932223824
Cocktail,APO57,7.98777777777778,12,0.108,0.03742143284754923,0.010802637163997026,0.023776444087811884
Cocktail,APO57,8.23777777777778,12,0.10808333333333334,0.0378548863984879,0.010927764426154847,0.024051847334944143
Cocktail,APO57,8.48777777777778,12,0.10825,0.038241160594787965,0.011039272181762271,0.024297274250271207
Cocktail,APO57,8.73777777777778,12,0.10825,0.038241160594787965,0.011039272181762271,0.024297274250271207
Cocktail,APO57,8.98777777777778,12,0.10833333333333334,0.0384360941477322,0.011095544651395492,0.024421129120855634
Cocktail,APO57,9.23777777777778,12,0.1085,0.03858756276314948,0.011139269874337967,0.02451736768767372
Cocktail,APO57,9.48777777777778,12,0.1085,0.03882478121462678,0.011207748942746548,0.024668089101017907
Cocktail,APO57,9.73777777777778,12,0.10866666666666666,0.03921347943879719,0.011319956454925707,0.02491505617017504
Cocktail,APO57,9.98777777777778,12,0.10891666666666666,0.039559985139562735,0.01141998403473207,0.025135215388928725
Cocktail,APO57,10.2377777777778,12,0.109,0.040228890568391726,0.011613080399430481,0.02556021762209757
Cocktail,APO57,10.4877777777778,12,0.10916666666666666,0.04085191290354453,0.01179293145588629,0.02595606712838361
Cocktail,APO57,10.7377777777778,12,0.10941666666666666,0.04119898130544081,0.011893121473517305,0.026176583870378793
Cocktail,APO57,10.9877777777778,12,0.10966666666666666,0.041545885549120344,0.011993264102753007,0.026396996311219133
Cocktail,APO57,11.2377777777778,12,0.10975,0.04197645443903913,0.012117558635002652,0.02667056673218113
Cocktail,APO57,11.4877777777778,12,0.11,0.042561185902821666,0.012286356069011899,0.02704208737949703
Cocktail,APO57,11.7377777777778,12,0.11041666666666666,0.043059067957090455,0.012430082238040282,0.027358426544645327
Cocktail,APO57,11.9877777777778,12,0.112,0.04741691297800434,0.013688083735995935,0.030127269173018768
Cocktail,APO57,12.2377777777778,12,0.11375,0.05130855856305244,0.014811505049055004,0.032599902811592446
Cocktail,APO57,12.4877777777778,12,0.11416666666666667,0.05181055233572919,0.014956418168948223,0.03291885443798
Cocktail,APO57,12.7377777777778,12,0.11458333333333333,0.05278508455534719,0.015237741388613429,0.03353804266965232
Cocktail,APO57,12.9877777777778,12,0.11483333333333333,0.05336466882486838,0.015405052955626495,0.03390629294575975
Cocktail,APO57,13.2377777777778,12,0.115,0.053755338001321915,0.015517829432721264,0.034154512298252754
Cocktail,APO57,13.4877777777778,12,0.11533333333333333,0.05453328146993163,0.01574240236822933,0.03464879399666423
Cocktail,APO57,13.7377777777778,12,0.11558333333333333,0.055115512307967324,0.015910477933764534,0.03501872582218122
Cocktail,APO57,13.9877777777778,12,0.11566666666666667,0.055309596953435805,0.015966505344917933,0.0351420413226882
Cocktail,APO57,14.2377777777778,12,0.11574999999999999,0.05550450432172149,0.016022770255691328,0.035265879556334326
Cocktail,APO57,14.4877777777778,12,0.11574999999999999,0.05550450432172149,0.016022770255691328,0.035265879556334326
Cocktail,APO57,14.7377777777778,12,0.11558333333333333,0.055115512307967324,0.015910477933764534,0.03501872582218122
Cocktail,APO57,14.9877777777778,12,0.11541666666666667,0.05472652395541329,0.015798186668735184,0.0347715744142437
Cocktail,APO57,15.2377777777778,12,0.11533333333333333,0.054531614405746054,0.01574192112825118,0.034647734794613874
Cocktail,APO57,15.4877777777778,12,0.11525,0.05433753934268815,0.015685896483301445,0.03452442538248011
Cocktail,APO57,15.7377777777778,12,0.11508333333333333,0.05394855855068762,0.015573607400815894,0.0342772787782891
Cocktail,APO57,15.9877777777778,12,0.11491666666666667,0.05355958166265667,0.015461319445309287,0.034030134654562026
Cocktail,APO57,16.2377777777778,12,0.11475,0.053170608764275366,0.015349032641515329,0.033782993065737406
Cocktail,APO57,16.4877777777778,12,0.11458333333333333,0.05278163994374858,0.015236747014896574,0.03353585406785794
Cocktail,APO57,16.7377777777778,12,0.1145,0.052586724906231196,0.01518047989020669,0.033412010961414475
Cocktail,APO57,16.9877777777778,12,0.1145,0.052586724906231196,0.01518047989020669,0.033412010961414475
Cocktail,APO57,17.2377777777778,12,0.11441666666666667,0.05239267529189958,0.01512446259167144,0.033288717718629963
Cocktail,APO57,17.4877777777778,12,0.11441666666666667,0.05239267529189958,0.01512446259167144,0.033288717718629963
Cocktail,APO57,17.7377777777778,12,0.1145,0.052586724906231196,0.01518047989020669,0.033412010961414475
Cocktail,APO57,17.9877777777778,12,0.11441666666666667,0.05239267529189958,0.01512446259167144,0.033288717718629963
Cocktail,APO57,18.2377777777778,12,0.11433333333333333,0.05219775915310983,0.015068195149071607,0.03316487391247143
Cocktail,APO57,18.4877777777778,12,0.11441666666666667,0.05239267529189958,0.01512446259167144,0.033288717718629963
Cocktail,APO57,18.7377777777778,12,0.1145,0.052586724906231196,0.01518047989020669,0.033412010961414475
Cocktail,APO57,18.9877777777778,12,0.11458333333333333,0.05278163994374858,0.015236747014896574,0.03353585406785794
Cocktail,APO57,19.2377777777778,12,0.11483333333333333,0.05336637234223156,0.015405544718730596,0.03390737530905416
Cocktail,APO57,19.4877777777778,12,0.11516666666666667,0.05391716429914139,0.015564544661025281,0.03425733182250019
Cocktail,APO57,19.7377777777778,12,0.11533333333333333,0.054306090958119196,0.01567681811665321,0.034504444032209466
Cocktail,APO57,19.9877777777778,12,0.11558333333333333,0.05489073167887658,0.015845589355407457,0.03487590702415785
Cocktail,APO57,20.2377777777778,12,0.11591666666666667,0.05566859459553855,0.016070139037571166,0.03537013754230347
Cocktail,APO57,20.4877777777778,12,0.11624999999999999,0.056674709767873775,0.01636057947036292,0.03600939262476871
Cocktail,APO57,20.7377777777778,12,0.11666666666666667,0.05764520532507189,0.016640737405960754,0.03662601608350145
Cocktail,APO57,20.9877777777778,12,0.11699999999999999,0.058423220788251025,0.016865331124510836,0.03712034352507998
Cocktail,APO57,21.2377777777778,12,0.11733333333333333,0.05920124896307407,0.017089928512596435,0.03761467904325173
Cocktail,APO57,21.4877777777778,12,0.11775,0.06017568974564094,0.0173712253366586,0.03823380917859346
Cocktail,APO57,21.7377777777778,12,0.11825,0.06134274054997721,0.017708123884679357,0.038975317883243564
Cocktail,APO57,21.9877777777778,12,0.11866666666666667,0.06208547382927878,0.017922532514049787,0.03944722809468347
Cocktail,APO57,22.2377777777778,12,0.119,0.0628663806671087,0.01814796090056635,0.039943392628069826
Cocktail,APO57,22.4877777777778,12,0.1195,0.0640333719811219,0.018484842275210085,0.040684863534371965
Cocktail,APO57,22.7377777777778,12,0.11991666666666667,0.06500413739746017,0.018765078112431523,0.0413016584534222
Cocktail,APO57,22.9877777777778,12,0.12016666666666667,0.06581493797464266,0.018999136078179234,0.041816816562634154
Cocktail,APO57,23.2377777777778,12,0.12058333333333333,0.06656023701516658,0.01921428537901586,0.04229035698097966
Cocktail,APO57,23.4877777777778,12,0.12108333333333333,0.06750145901902396,0.01948599276766299,0.04288838091127924
Cocktail,APO57,23.7377777777778,12,0.1215,0.06847229034766214,0.019766247632126477,0.04350521770900687
Cocktail,APO57,23.9877777777778,12,0.12191666666666667,0.06944645855665073,0.020047465770974243,0.044124174659359396
Cocktail,CPO093,0.237777777777778,12,0.6185833333333334,0.6323443334612924,0.18254208557220583,0.4017724214366031
Cocktail,CPO093,0.487777777777778,12,0.6265833333333333,0.6279116119520664,0.18126246909390867,0.3989560045572623
Cocktail,CPO093,0.737777777777778,12,0.6391666666666667,0.6210913903376178,0.1792936407013913,0.3946226424825645
Cocktail,CPO093,0.987777777777778,12,0.68125,0.6007668016793205,0.17342643733487312,0.3817090149416183
Cocktail,CPO093,1.23777777777778,12,0.278,0.19701315138381453,0.056872797992670907,0.12517618439475822
Cocktail,CPO093,1.48777777777778,12,0.28258333333333335,0.19937422936110208,0.05755438249555324,0.12667634177095066
Cocktail,CPO093,1.73777777777778,12,0.29533333333333334,0.20041517513462506,0.05785487765683089,0.1273377271616021
Cocktail,CPO093,1.98777777777778,12,0.3119166666666667,0.20092307815015512,0.05800149662820014,0.12766043334177374
Cocktail,CPO093,2.23777777777778,12,0.32958333333333334,0.2010212373824912,0.05802983275780648,0.12772280074253173
Cocktail,CPO093,2.48777777777778,12,0.34983333333333333,0.2009205330623543,0.058000761924636685,0.1276588162701335
Cocktail,CPO093,2.73777777777778,12,0.37316666666666665,0.20088750055388682,0.057991226260808826,0.12763782841555676
Cocktail,CPO093,2.98777777777778,12,0.39816666666666667,0.20185675989461319,0.058271027331450294,0.1282536664198164
Cocktail,CPO093,3.23777777777778,12,0.4260833333333333,0.20487400045053558,0.059142029655036114,0.13017072960843412
Cocktail,CPO093,3.48777777777778,12,0.4549166666666667,0.2103081973646959,0.06071074718064606,0.13362345360267727
Cocktail,CPO093,3.73777777777778,12,0.4826666666666667,0.2196022575365552,0.06339371125168984,0.13952861770810368
Cocktail,CPO093,3.98777777777778,12,0.50875,0.2350625158625602,0.0678567034048199,0.1493515972067484
Cocktail,CPO093,4.23777777777778,12,0.5300833333333334,0.254150441608306,0.07336691293860888,0.1614794866196134
Cocktail,CPO093,4.48777777777778,12,0.545,0.27205079739570026,0.07853430055482995,0.17285283007935726
Cocktail,CPO093,4.73777777777778,12,0.5565833333333333,0.28749971014478143,0.08299401752201448,0.1826686009423393
Cocktail,CPO093,4.98777777777778,12,0.5668333333333333,0.3001305271599897,0.08664022032392218,0.19069383920002272
Cocktail,CPO093,5.23777777777778,12,0.57625,0.31018707698302445,0.08954329619764617,0.1970834661167093
Cocktail,CPO093,5.48777777777778,12,0.5860833333333333,0.3189911535773462,0.09208481419349504,0.2026773095096785
Cocktail,CPO093,5.73777777777778,12,0.5960833333333333,0.3272192643621353,0.09446006518175507,0.2079052016863318
Cocktail,CPO093,5.98777777777778,12,0.60525,0.3348511541783087,0.09666320200165171,0.2127542731325758
Cocktail,CPO093,6.23777777777778,12,0.6140833333333333,0.3414957628735766,0.09858133531108802,0.2169760560817226
Cocktail,CPO093,6.48777777777778,12,0.6233333333333333,0.3479407821437261,0.1004418521163646,0.22107102596023745
Cocktail,CPO093,6.73777777777778,12,0.63225,0.35415125813183784,0.10223466210813062,0.22501697414697847
Cocktail,CPO093,6.98777777777778,12,0.6409166666666667,0.3595885169400596,0.10380426352642087,0.2284716435758941
Cocktail,CPO093,7.23777777777778,12,0.6498333333333334,0.36536677296639714,0.10547230236254714,0.23214297230066455
Cocktail,CPO093,7.48777777777778,12,0.6593333333333333,0.3717790970047899,0.10732338086739572,0.2362171686200009
Cocktail,CPO093,7.73777777777778,12,0.6705833333333333,0.3782256321137937,0.10918433525765758,0.24031310161657463
Cocktail,CPO093,7.98777777777778,12,0.68325,0.38431855276580135,0.11094320994695141,0.24418435870617114
Cocktail,CPO093,8.23777777777778,12,0.6970833333333334,0.39039175157394107,0.1126963914303122,0.24804308513399567
Cocktail,CPO093,8.48777777777778,12,0.7129166666666666,0.3965731523332299,0.11448080812648437,0.25197055980169036
Cocktail,CPO093,8.73777777777778,12,0.7305833333333334,0.40334408012229084,0.11643540661732331,0.2562726020739644
Cocktail,CPO093,8.98777777777778,12,0.7508333333333334,0.4115926568240925,0.11881656560693155,0.2615134976739109
Cocktail,CPO093,9.23777777777778,12,0.77325,0.4216487389888758,0.12171950647934685,0.2679028274547205
Cocktail,CPO093,9.48777777777778,12,0.79525,0.43308095506078725,0.12501970299262288,0.27516651100582723
Cocktail,CPO093,9.73777777777778,12,0.8140000000000001,0.4432602354866003,0.1279582081396228,0.2816341172272269
Cocktail,CPO093,9.98777777777778,12,0.8284166666666667,0.4512017203250032,0.13025071734423144,0.286679895965944
Cocktail,CPO093,10.2377777777778,12,0.83925,0.45757763871778684,0.1320912864444338,0.29073096124161263
Cocktail,CPO093,10.4877777777778,12,0.84825,0.4628555881206853,0.1336148991987001,0.2940844103034791
Cocktail,CPO093,10.7377777777778,12,0.857,0.4676640208136995,0.1350029741535461,0.29713954268019
Cocktail,CPO093,10.9877777777778,12,0.86575,0.47257786756162307,0.1364214795248812,0.3002616519520089
Cocktail,CPO093,11.2377777777778,12,0.8745833333333334,0.47721130412834817,0.1377590374494171,0.3032055970946753
Cocktail,CPO093,11.4877777777778,12,0.8836666666666667,0.4814916846885753,0.1389946768837577,0.305925221152883
Cocktail,CPO093,11.7377777777778,12,0.8923333333333333,0.4858851965664567,0.140262974516449,0.30871672542101597
Cocktail,CPO093,11.9877777777778,12,0.90025,0.4902361443964809,0.14151898496689624,0.31148118578337036
Cocktail,CPO093,12.2377777777778,12,0.9083333333333333,0.4946762638944849,0.14280073706059962,0.31430230312052787
Cocktail,CPO093,12.4877777777778,12,0.9164166666666667,0.49900964799077663,0.14405167729784765,0.3170556040188723
Cocktail,CPO093,12.7377777777778,12,0.9245833333333333,0.5029016636812145,0.1451752054511299,0.31952847281119173
Cocktail,CPO093,12.9877777777778,12,0.9324166666666667,0.5069332856112391,0.14633903445441518,0.32209004317630685
Cocktail,CPO093,13.2377777777778,12,0.9400833333333334,0.5109825576694612,0.14750795861083346,0.3246628278978561
Cocktail,CPO093,13.4877777777778,12,0.9479166666666666,0.514639584092743,0.14856365120579113,0.32698639163297655
Cocktail,CPO093,13.7377777777778,12,0.9553333333333334,0.5178880772966883,0.14950141041867035,0.32905038574426293
Cocktail,CPO093,13.9877777777778,12,0.9623333333333334,0.5208317357551256,0.15035117142036092,0.3309206970986085
